,iso,ELUC
0,USA,-0.018357815632380765
1,POL,-0.009985683739951526
2,FRA,-0.00742761704765366
3,ITA,-0.0073851468507935315
4,DEU,-0.007151348247476127
5,TUR,-0.005234447613145971
6,NZL,-0.005106579261090864
7,ESP,-0.004466827508912011
8,CZE,-0.0038572679113150423
9,JPN,-0.003769606233246448
10,ROU,-0.003154247935930076
11,GRC,-0.0026903618406076877
12,KOR,-0.002194735056466969
13,SRB,-0.002085102761258209
14,HUN,-0.0019637189740239953
15,GEO,-0.001757154799002864
16,AUT,-0.0016729807630503045
17,CUB,-0.0016501839927727186
18,IRN,-0.0015892415034531283
19,BGR,-0.0011718685429500336
20,PRT,-0.001110136259607267
21,MNG,-0.0007236504361867169
22,HRV,-0.0006751163697421461
23,SVK,-0.0006582713335662758
24,IRL,-0.0005475322682293702
25,MDA,-0.0005093123794171841
26,DOM,-0.0004619436223086104
27,MNE,-0.0004428810847066497
28,CHE,-0.0003242112106093758
29,SLV,-0.0002980971032140488
30,LBY,-0.00020734106208890205
31,UZB,-0.00020541288019065225
32,MKD,-0.00020338882956025104
33,SYR,-0.00014901561298804548
34,YEM,-0.00013918596201290608
35,ARE,-0.00013012256995378852
36,CYP,-0.00012540840155054656
37,MAR,-0.00010566531571344832
38,TTO,-8.838694896297139e-05
39,VUT,-5.000304902703919e-05
40,JAM,-4.8407576131145333e-05
41,BRB,-2.3544449548142066e-05
42,LCA,-1.6852643313745354e-05
43,MLT,-1.1744261918075715e-05
44,DMA,-1.1499580732084442e-05
45,GRD,-9.394137863352767e-06
46,BHS,-7.6246950813764e-06
47,KNA,-7.29332307857771e-06
48,CPV,-5.405999816893147e-06
49,LIE,-5.161012411924074e-06
50,SMR,-2.7149202183099174e-06
51,AND,-1.881122569728703e-06
52,VCT,-1.6893974809223903e-06
53,COM,-1.4215989471108198e-06
54,ATG,-1.015715178148449e-06
55,BHR,-1.5589432806265662e-07
56,MCO,-5.1792293390162496e-08
57,VAT,-7.89927998647867e-09
58,FSM,-2.0282376304091976e-09
59,COK,-5.284900412045068e-10
60,NIU,-3.44292245305355e-11
61,KIR,0.0
62,MHL,0.0
63,NRU,0.0
64,TUV,0.0
65,SYC,2.5706262290796846e-08
66,MDV,2.6764797270491876e-07
67,PLW,1.4802926138478482e-06
68,QAT,1.6033726259646514e-06
69,KWT,1.7221604873000158e-06
70,OTHER,4.417102899855856e-06
71,SWZ,4.6390125910382355e-06
72,STP,9.084959837843947e-06
73,TON,9.71493041070673e-06
74,LUX,1.1020867604983035e-05
75,DJI,1.352659407935976e-05
76,WSM,2.0507619900359596e-05
77,ALB,2.3238460991432507e-05
78,PSE,2.3678363052053928e-05
79,SGP,3.40274828561617e-05
80,MUS,3.613284524259938e-05
81,OMN,5.691205458817001e-05
82,JOR,6.521700992237375e-05
83,LBN,6.607126262690423e-05
84,FJI,7.321254647742474e-05
85,TUN,8.7125416215536e-05
86,DZA,9.498798434595482e-05
87,ISL,9.879396982003777e-05
88,TJK,0.00013563888466518718
89,MLI,0.0001378598331251747
90,CRI,0.00018805031608594964
91,BIH,0.00020965535728799154
92,SAU,0.00022869540845325977
93,MRT,0.00022958788087566
94,EST,0.00024639357036211574
95,AFG,0.00025628463899858366
96,ARM,0.0002580361670189014
97,GMB,0.0002639575430645817
98,ISR,0.00030753935062016345
99,DNK,0.00031257070730438165
100,BTN,0.00034623041625693175
101,GNB,0.00035081085685347127
102,SVN,0.0003850414270463443
103,BRN,0.00040014886259295444
104,RWA,0.0004058041704944824
105,SEN,0.00040918071798124405
106,KGZ,0.0004385045435461015
107,TGO,0.00045472009516166624
108,HTI,0.0004578215202226848
109,LSO,0.00048030768913220363
110,GNQ,0.0005273135221374871
111,ZAF,0.0005486196138195928
112,ERI,0.0005760936589394196
113,TLS,0.0005847429561957309
114,TKM,0.0006290452384863251
115,BEL,0.0006459856005017416
116,BDI,0.0006988884920297372
117,EGY,0.0007583817465016997
118,SUR,0.0008107403456179972
119,UKR,0.0008194605987204646
120,URY,0.0008332810229754447
121,LTU,0.0008373035589406164
122,LVA,0.0009011767589709341
123,SLB,0.0009310444887682921
124,NOR,0.0009996568155744932
125,AZE,0.001011853642479955
126,NPL,0.0012536283838483313
127,BLR,0.0013327352095272042
128,IRQ,0.0013659675381391986
129,NLD,0.0015245978068586
130,LKA,0.001550189054089279
131,GHA,0.001573410128451485
132,GAB,0.0016287264285163325
133,BLZ,0.0017416027033087856
134,CAF,0.0017851533327703857
135,GUY,0.0018171123117304282
136,NAM,0.0018644354395604434
137,PRK,0.0018821326993936616
138,BWA,0.0019554492998480554
139,PAN,0.0020084033828542624
140,BGD,0.0020445746468807915
141,SSD,0.0023291923119049913
142,ZWE,0.0025918955895517706
143,BFA,0.002633095845118225
144,CHL,0.0027895013139949856
145,DISPUTED,0.0028338164342253747
146,GBR,0.002960362026135497
147,MWI,0.002981676647688735
148,SLE,0.00298693519796263
149,HND,0.0030280713894287113
150,KEN,0.0030753302029393518
151,COG,0.00317235108397815
152,PAK,0.0033843563696562533
153,SWE,0.0035620679541686134
154,GTM,0.0036156103897027293
155,BEN,0.003784083491048889
156,GIN,0.003948586258354798
157,UGA,0.003994926031190108
158,FIN,0.004086035982969702
159,SOM,0.004186907837057666
160,LBR,0.004232154959278471
161,NER,0.004262903074489532
162,MDG,0.005200266046468077
163,NIC,0.005203844804779946
164,ECU,0.005313549016711854
165,KAZ,0.005489431017163907
166,AUS,0.006049853211789038
167,NGA,0.0066235269672042475
168,CMR,0.007546219984398261
169,PNG,0.007845578803217186
170,PHL,0.007858816394446994
171,TCD,0.007978359255013556
172,IND,0.008462836533479658
173,VEN,0.008884458759517117
174,KHM,0.009785333282660945
175,SDN,0.010202608082174557
176,MOZ,0.010348521981805126
177,LAO,0.010368052410202125
178,THA,0.010698482742912014
179,PER,0.011243818325906414
180,BOL,0.014258981983982214
181,ZMB,0.014736043182162196
182,CIV,0.015724926579810644
183,ARG,0.01631424040649735
184,PRY,0.017867479031556822
185,COL,0.021496409000374524
186,CAN,0.025004262651379363
187,CHN,0.02607774011811117
188,ETH,0.026865877143566384
189,RUS,0.02850182055443958
190,AGO,0.029607114738016218
191,MEX,0.030264157035725714
192,MMR,0.031305037539888315
193,VNM,0.03777126338855256
194,TZA,0.03777602514328462
195,MYS,0.041120718332919
196,COD,0.15553516301983444
197,IDN,0.25814469697796116
198,BRA,0.2946583114883965
